国名,2019名目GDP,2019実質GDP,2019一人当たりGDP,2019GDP成長率,2019一人当たりGDP成長率,2019消費者物価上昇率,2019総貯蓄,2019GDPデフレーター,2019純受取ODA,2019一人当たり純受取ODA,2020名目GDP,2020実質GDP,2020一人当たりGDP,2020GDP成長率,2020一人当たりGDP成長率,2020消費者物価上昇率,2020総貯蓄,2020GDPデフレーター,2020純受取ODA,2020一人当たり純受取ODA
Belarus,64409647194,59013474193,6837.717826,1.4,1.604818192,5.59815595,27.82238987,8.626732645,1.988999548,90.79008028,61489588895,58482352925,6555.426818,-0.9,-0.479446185,5.548143575,25.62797119,12.13417333,4.533780903,174.1105308
Belize,1945250236,1839661848,4983.336114,1.964996302,0.063361176,,9.814936879,1.075386664,,,1585631670,1531516106,3987.796596,-16.75012951,-18.27224871,,13.47999775,-2.086343684,,
Bermuda,7423465000,6840793088,116153.1661,0.306266735,0.317253011,,38.80139718,2.419351945,1.768334427,61.51165884,6881662000,6371962194,107706.0398,-6.853458192,-6.827216855,,40.17679897,-0.477807068,0.93447203,28.98990433
Bolivia,40895322851,38193230080,3552.068144,2.21670564,0.796515958,1.83954505,14.16801038,-0.693003272,0.014999863,1.290692323,36629843806,34855949803,3137.989617,-8.737884358,-9.988226181,0.940742153,12.48231206,-1.854386683,0.04342545,2.881217988
Brazil,1.87E+12,1.82E+12,8876.059836,1.220777823,0.462903687,3.732976212,11.87830621,4.22425887,,,1.45E+12,1.75E+12,6814.875632,-3.878676334,-4.561462507,3.211768038,14.15060866,5.140222397,,
Barbados,5304164323,4787093962,18480.05659,-0.610274656,-0.74220746,4.100289645,,4.697597316,,,4689534962,4117793616,16318.74811,-13.98134966,-14.08611503,,,2.782738317,,
Brunei Darussalam,13469422959,13278836553,31085.96193,3.869109865,2.829690022,-0.390522069,53.55344169,-3.335767975,7.747681681,234.138911,12005825770,13429361906,27442.95383,1.13357335,0.165658547,1.940319966,50.90864167,-10.86375956,9.307360011,262.0617703
Bhutan,2535657069,2470944512,3322.863329,5.755169993,4.549737283,2.725821043,21.37668783,0.899053929,0.427310688,29.34405975,2315436303,2221963713,3000.777986,-10.07634116,-11.06902884,5.62999178,18.22258444,6.852907496,0.536122922,33.47047216
Botswana,16695925027,16244208065,7247.429476,3.348910139,1.122135896,2.772864429,26.53250138,0.716018582,28.86517984,145.143098,14930072799,14826671812,6348.832318,-8.726410346,-10.58640629,1.890359168,25.41868875,4.351846786,33.78313385,171.8469019
Central African Republic,2221301401,1986909339,468.1175148,3.1,1.38780065,2.685373553,,2.327837051,,,2326720921,2004791523,481.7462966,0.899999997,-0.867089762,1.710156595,,1.982160556,,
Canada,1.74E+12,1.70E+12,46328.67184,1.879592028,0.426917853,1.949269024,20.01542161,1.47519792,,,1.65E+12,1.61E+12,43258.26387,-5.233024303,-6.31922237,0.716999632,18.88341052,0.749680464,,
Central Europe and the Baltics,1.67E+12,1.52E+12,16346.56181,4.072102277,4.214346745,2.664561334,22.50310816,3.188931533,,,1.65E+12,1.46E+12,16197.29935,-3.770298718,-3.557308871,1.672440969,22.4461951,2.368618962,,
Switzerland,7.32E+11,7.58E+11,85334.51946,1.210992207,0.491609145,0.36288618,31.86302307,-0.105744561,,,7.52E+11,7.40E+11,87100.41482,-2.392826042,-3.085400925,-0.725874933,31.32448194,-0.502868266,,
Channel Islands,,,,,,,,,,,,,,,,,,,,
Chile,2.79E+11,2.62E+11,14699.46278,0.770539584,-0.414485105,2.557544757,20.11060008,2.578359014,-0.00427769,-0.432706218,2.53E+11,2.46E+11,13220.57076,-5.978224062,-6.785702733,3.045490848,20.28912215,8.817322377,-0.003933339,-0.406498466
China,1.43E+13,1.43E+13,10143.8382,5.950500754,5.575316863,2.899234164,43.77302811,1.286700408,2.059899218,45.63753039,1.47E+13,1.46E+13,10408.66976,2.239701857,1.996619014,2.419421895,44.01639898,0.491448371,2.626386079,59.21349865
Cote d'Ivoire,58539424930,59861589343,2276.332394,6.231709513,3.557682501,-1.10686344,17.55413939,0.200492127,3.341545023,50.14030557,61348579465,61033878289,2325.723705,1.958332479,-0.599377217,2.425006568,19.01883602,0.974545188,3.50652649,52.73175733
Cameroon,39670977333,37502066705,1533.095688,3.475059979,0.835333751,2.452802141,14.39895778,1.169771822,5.738646168,32.37379424,40804449726,37686544900,1537.130218,0.491914742,-2.042454665,2.437608822,13.39959358,0.549999976,7.118610857,37.70999512
"Congo, Dem. Rep.",51775830726,44487657807,596.5605701,4.384528881,1.110159543,,17.03943467,5.895405368,1.753782037,32.65121496,48716960860,45259706748,543.9503925,1.735422764,-1.412051028,,22.35771003,3.901549573,2.41509626,38.9319355
"Congo, Rep.",12750338736,9647394774,2369.729441,-0.086885958,-2.614952336,2.206073058,,-1.526592852,0.276471693,17.3583565,10483151094,9045462978,1899.778237,-6.239319632,-8.577146636,1.795371471,,-13.85542425,0.697694978,36.72590513
Colombia,3.23E+11,3.21E+11,6418.615783,3.186855392,1.796283366,3.525492736,16.17823056,4.002620543,6.21953912,85.59263388,2.70E+11,2.99E+11,5312.198556,-7.048151208,-8.040898507,2.524620535,14.66365644,1.356488304,10.7481008,151.6913088
